epoch,train_loss,eval_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_recall,train_weighted_precision,train_weighted_f1,eval_accuracy,eval_macro_precision,eval_macro_recall,eval_macro_f1,eval_weighted_recall,eval_weighted_precision,eval_weighted_f1
0,4.675966761504222,4.273124382060061,0.04604486422668241,0.013039302466642063,0.013756819492390876,0.011279807672723728,0.04604486422668241,0.039960570202616744,0.03739931599113249,0.14569983136593592,0.028528870572554054,0.03596834050807927,0.024447314604642386,0.14569983136593592,0.09265864540617746,0.09416316109655798
1,3.9898834151399103,3.614182843956896,0.16655422499578343,0.044294060859101404,0.041892068142591436,0.0301956447620255,0.16655422499578343,0.11367924238227685,0.10974908133792699,0.2475548060708263,0.07267110649544384,0.06571587428312245,0.04968771597476312,0.2475548060708263,0.1876267546668666,0.16738733444104342
2,3.4686606907137643,3.1149799464851298,0.25914994096812277,0.07306956625540299,0.07214199705926438,0.057331646708419864,0.25914994096812277,0.1841454767687783,0.18555547913221904,0.33962900505902194,0.10881440493477643,0.10324545959111742,0.08364545945597494,0.33962900505902194,0.2521740445409014,0.2546123101379164
3,3.064914770203459,2.81813568709999,0.34111991904199696,0.1220082208979024,0.10679267967266938,0.09216626000775244,0.34111991904199696,0.2660947514893689,0.2667485612515563,0.3993254637436762,0.15428724114369385,0.13429243939423352,0.11791523785441665,0.3993254637436762,0.333162888602847,0.32386461536325517
4,2.7439920140726546,2.537242551003733,0.4072356215213358,0.1658702747820058,0.14124469633867637,0.12933384190293704,0.4072356215213358,0.3360277301121182,0.33852516892994655,0.4421585160202361,0.15999172401474496,0.15968905461148916,0.14360249599858185,0.4421585160202361,0.35713815323579423,0.37204723742509543
5,2.4717070898919737,2.386796360374779,0.4601113172541744,0.19921730203400684,0.1715567968565678,0.16094459889473228,0.4601113172541744,0.39115449976173255,0.3959518218634386,0.4799325463743676,0.1882132232987907,0.18929028294951553,0.17466023701576833,0.4799325463743676,0.4018574802811076,0.4186039755943737
6,2.2464772456418474,2.220819260484429,0.4993253499747006,0.22833187401906824,0.19919599598933035,0.19047454963265237,0.4993253499747006,0.4365006773014723,0.44226336744966704,0.5126475548060708,0.2234782041196854,0.2151291114544058,0.20207426269452114,0.5126475548060708,0.4443160652607004,0.45674745114236304
7,2.064161985068308,2.1036585864200386,0.5385393826952268,0.29795103433946396,0.2291682010371788,0.22449032530190713,0.5385393826952268,0.4949851681695487,0.4889065775401849,0.5264755480607083,0.2516048261593486,0.22996000054961654,0.21955107239209748,0.5264755480607083,0.47189477142080277,0.47899243986365964
8,1.8875205571439388,2.006870642785103,0.5756451340866925,0.3634780760298601,0.2592550284884144,0.25928603336353706,0.5756451340866925,0.545182820657472,0.5307311989356919,0.545362563237774,0.2817809325832387,0.24957808569559695,0.24238767360372077,0.545362563237774,0.49453272689883687,0.5011540180991191
9,1.7257932816554273,1.9532531038407357,0.6079440040479002,0.37544012884295597,0.28657249532198065,0.288172624314721,0.6079440040479002,0.5728194406865177,0.5671279914508809,0.5591905564924115,0.3122449739261206,0.2656358143817907,0.26229657585521304,0.5591905564924115,0.5195760592356449,0.51949914080491
10,1.5801187646035557,1.8934200732938704,0.6405801990217574,0.38826299573573275,0.31600426475003696,0.3191477859587043,0.6405801990217574,0.6014470210511335,0.6035074503319915,0.5763912310286677,0.3285236766124514,0.28258216699216454,0.27997693271287355,0.5763912310286677,0.5390824169980356,0.5393219008180016
11,1.4299058748705369,1.850442946598094,0.6758306628436499,0.4484058567955974,0.349984981969051,0.35571339240163125,0.6758306628436499,0.6478784922266185,0.6414863178177083,0.5895446880269815,0.34022035153869284,0.29867795897897476,0.29881688962973585,0.5895446880269815,0.5551536348034609,0.5556580726941525
12,1.308772354916421,1.7982327092078425,0.7021420138303255,0.47591633587685184,0.37618128599458983,0.383864076858806,0.7021420138303255,0.6761463247597804,0.670891485756325,0.5979763912310286,0.34953698617546375,0.31237263455551184,0.3104816662068297,0.5979763912310286,0.5685204338904657,0.5686211118589338
13,1.182874263216543,1.7687947686000536,0.7298869961207624,0.49900717105585596,0.4078647935855219,0.4182522198934341,0.7298869961207624,0.7031836839376441,0.7017527665126745,0.6057335581787521,0.351601065265013,0.32095454300789444,0.318663472260498,0.6057335581787521,0.5799067389714021,0.5793380411505249
14,1.068013263921532,1.7662117378686064,0.7580536346770113,0.512221574798913,0.43811961614413475,0.44863267922037897,0.7580536346770113,0.7283245403688103,0.7325726695104658,0.6053962900505903,0.3468992418583545,0.32489362887313317,0.32185052402941655,0.6053962900505903,0.5756001948225964,0.5793184193349911
15,0.9701435222538977,1.7291985346424965,0.7823410355877888,0.5625033943254476,0.4700066787654516,0.4811677410416966,0.7823410355877888,0.7599992885244712,0.7597148730447919,0.6128161888701518,0.3729013348379765,0.34184070975197844,0.3427187946722886,0.6128161888701518,0.5875664633677041,0.5890310239546571
16,0.8582040249819383,1.728952524482563,0.8123629617136111,0.6223047136805435,0.507255185282946,0.521712400743443,0.8123629617136111,0.7949052007952909,0.791669147706891,0.6192242833052276,0.3824158020621025,0.35346673337226664,0.3551026034450721,0.6192242833052276,0.5963526605961887,0.5975330209253554
17,0.7876548561044138,1.723148213919773,0.8231573621184011,0.6315796822736749,0.5292367773627399,0.5442092560110493,0.8231573621184011,0.8047644482140645,0.8042499737573447,0.6155143338954469,0.38958524478248646,0.35795062176668807,0.3595092207842561,0.6155143338954469,0.5965488263880855,0.5965513249283404
18,0.6968923768585904,1.70880921617631,0.8471917692696913,0.6984795643281866,0.5612705771563876,0.5819192549545659,0.8471917692696913,0.8349476646613485,0.8305274854754434,0.6222596964586846,0.4216533428380678,0.370906970381545,0.3765823016642476,0.6222596964586846,0.6066006357269114,0.6037374979720608
19,0.6318819634114314,1.7094446568078892,0.8604317760161916,0.6845432917688369,0.5856027975619006,0.6029911926277481,0.8604317760161916,0.8443493714187089,0.8452332784356232,0.627318718381113,0.43478843489482855,0.38629244432704757,0.3926231514298834,0.627318718381113,0.6131820477731162,0.6113406126124967
20,0.5506348761747468,1.7141734265512036,0.8797436329903863,0.7554841459380564,0.6219640729407007,0.6448266426507799,0.8797436329903863,0.8699624936028704,0.8666643465163354,0.6209106239460371,0.4148661023230428,0.3813129156673682,0.3843363986306306,0.6209106239460371,0.6019881742577103,0.6040269279806737
21,0.48726183368831955,1.7212871966823455,0.8964412211165458,0.7627762614219694,0.6588163005238008,0.6824797568352493,0.8964412211165458,0.8859962666618131,0.88569432986618,0.6259696458684655,0.44272797937122826,0.3904842369455316,0.39942723172360245,0.6259696458684655,0.6125575205085344,0.6112967910916297
22,0.44010441300441633,1.7176625991380343,0.9036093776353517,0.8039899524339517,0.6834319178762166,0.7130632965577619,0.9036093776353517,0.8969374175726642,0.8949932114721568,0.6283305227655986,0.44616710478639393,0.3962763279210797,0.40430760624136586,0.6283305227655986,0.6138401363829596,0.6130194054341024
23,0.3784876390387909,1.742269318590882,0.9202226345083488,0.8466418163610622,0.7223128941930245,0.7514233004047113,0.9202226345083488,0.9167580688792081,0.913412363789506,0.6276559865092749,0.4423559597425918,0.39018792309073685,0.3992774150897577,0.6276559865092749,0.6137718182001871,0.6124033805381471
24,0.3437609750767442,1.7291311640893259,0.9276437847866419,0.8908540535626014,0.7471716172358134,0.7810814948974684,0.9276437847866419,0.9268848974322936,0.9220291886149464,0.6330522765598651,0.4575837000371864,0.41389063399994935,0.4214726929473177,0.6330522765598651,0.6240952783377642,0.6207220829885592
25,0.29773014880756965,1.7497143232694237,0.9418114353179288,0.8838095824636768,0.7849377561420907,0.8114806344339611,0.9418114353179288,0.9394566285327318,0.9374245442811843,0.6306913996627319,0.47147293821526953,0.41457721569789,0.4246487663882399,0.6306913996627319,0.623843355544634,0.619022821862296
26,0.26706579020322174,1.7717343235528598,0.9451846854444257,0.8861733528982538,0.8101899811147724,0.8327765819800553,0.9451846854444257,0.9428495823623183,0.9417610170407598,0.6330522765598651,0.4777010829724168,0.42072016094957776,0.4335517513202378,0.6330522765598651,0.6288533934375279,0.6234944084028258
27,0.24458282397723582,1.8016412879831047,0.9493169168493844,0.914182637867174,0.8265888612218004,0.8544209340906738,0.9493169168493844,0.9479851864316069,0.9467120899289704,0.6290050590219224,0.45836880721002715,0.41596485751457823,0.42329048960407345,0.6290050590219224,0.6219728064184581,0.6175924847411257
