epoch,train_loss,eval_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_recall,train_weighted_precision,train_weighted_f1,eval_accuracy,eval_macro_precision,eval_macro_recall,eval_macro_f1,eval_weighted_recall,eval_weighted_precision,eval_weighted_f1
10,2.494496198034672,2.5708312719098982,0.42005397200202393,0.22967680977935415,0.16691891702109904,0.16362254694430647,0.42005397200202393,0.38022288960968237,0.36861173270197817,0.4043844856661046,0.19565679069738576,0.15713834932399448,0.15285800090590387,0.4043844856661046,0.35545303228586334,0.35170897473428203
11,2.3822078444565724,2.496970979116296,0.44155844155844154,0.28732853979624245,0.18292242618062118,0.18157527825604078,0.44155844155844154,0.41411206212918017,0.3919107286185828,0.4236087689713322,0.21513286151417993,0.1713196100636752,0.16759889916440515,0.4236087689713322,0.3744780739451197,0.3739199954054896
12,2.277143515987859,2.4272420867796867,0.4634845673806713,0.30098878889961367,0.20199708135108274,0.20287958852344104,0.4634845673806713,0.43545448516066804,0.4176360130033093,0.4357504215851602,0.2257565886303845,0.18025391508128535,0.1788389230678378,0.4357504215851602,0.38975515591177756,0.3872262658996763
13,2.1855304713519113,2.368554198613731,0.4837240681396526,0.33056499013873725,0.21702551810497142,0.22235131408879502,0.4837240681396526,0.46489155507380914,0.44104774904412875,0.44924114671163573,0.23756972987281014,0.19520806534351084,0.1966191887922888,0.44924114671163573,0.4009148895740518,0.4042838302909118
14,2.1160917092526375,2.3194089192216114,0.49207286220273233,0.3297615147890734,0.22755254281791348,0.23384699915256074,0.49207286220273233,0.4616599602257427,0.4504964622802389,0.4596964586846543,0.26734890795714045,0.20650317838006912,0.21184906578745552,0.4596964586846543,0.42015323178176983,0.4171616205368553
15,2.0338876784008466,2.272254083746223,0.5105414066453028,0.35496095136228606,0.2469751522383792,0.25699490005665715,0.5105414066453028,0.4886579511896928,0.47454879061063726,0.47048903878583476,0.2917705723235766,0.2192074372620828,0.226358609453972,0.47048903878583476,0.4387886030072968,0.428594880743209
16,1.9557815157178278,2.2355196040163756,0.5231910946196661,0.3580896847297558,0.2559367781415903,0.26598249860203393,0.5231910946196661,0.4976464683363386,0.48708781282300595,0.4799325463743676,0.27855281689056316,0.22585111076031558,0.2300709694885114,0.4799325463743676,0.4409283634921011,0.44104963939954606
17,1.8867343622397863,2.1896357574770526,0.5434305953786474,0.3971219545179243,0.27584128892721727,0.2910984020861082,0.5434305953786474,0.5207045172015894,0.5098788095081436,0.4846543001686341,0.29184531985803225,0.23126435390808486,0.23802338450945074,0.4846543001686341,0.45056709424374214,0.446289990270189
18,1.8312430600271714,2.1559462778029905,0.5544779895429246,0.415397430638075,0.29019150770136526,0.3060401845011974,0.5544779895429246,0.5338855687993068,0.5228398552000876,0.4934232715008432,0.29270888858627164,0.2419354369001731,0.24804046829716495,0.4934232715008432,0.45800816499581365,0.45927767075371506
19,1.7541513499223962,2.122505677643643,0.5748018215550683,0.4710762958513894,0.31538768149415036,0.3367189193472151,0.5748018215550683,0.5620995030915383,0.5458537833191881,0.49949409780775716,0.3097650623847489,0.25009102620389156,0.25978699058104837,0.49949409780775716,0.46815937913807715,0.4673656930377636
20,1.705277262350941,2.100070191967872,0.5823916343396863,0.46137894917512745,0.3248135550181516,0.34639149481217263,0.5823916343396863,0.5688091203044259,0.5562496500578494,0.502866779089376,0.31041818106402175,0.25004572612060183,0.2591975259305107,0.502866779089376,0.47323998906973924,0.47014827653943453
21,1.6572466916793762,2.0739796789743568,0.5928487097318266,0.4736488970054296,0.33715000224431846,0.3597031723711227,0.5928487097318266,0.5790634557858366,0.5676718699776723,0.5052276559865093,0.3110415211869426,0.25835795081450386,0.2658527956929064,0.5052276559865093,0.4758192609409108,0.47508486162174474
22,1.6071986607464177,2.054900896164679,0.6028841288581548,0.4982439069609124,0.3481879186045987,0.3719538607564936,0.6028841288581548,0.5890413884410853,0.5788452850203816,0.5129848229342328,0.34918581645259883,0.2762775491606541,0.28659885333719853,0.5129848229342328,0.4906713210966318,0.48418057264471687
23,1.5401298966047898,2.037581120767901,0.6210153482880756,0.548797735108531,0.3760139792310903,0.40544579261925107,0.6210153482880756,0.6140201660509703,0.5997056949119431,0.5190556492411467,0.33578295170543093,0.2752642898363452,0.28577723572753344,0.5190556492411467,0.4930105165748739,0.4917454271314865
24,1.4969289905298753,2.0203762201852697,0.6253162421993591,0.5156697518732192,0.3771824565471277,0.4042641352219654,0.6253162421993591,0.6113845957753511,0.6037904210342144,0.5251264755480607,0.3501236768376843,0.2830793991492089,0.2949743647613255,0.5251264755480607,0.5034460537365065,0.49860707269775295
25,1.4568381402691741,1.9942253366593392,0.6398212177432957,0.5705530591136074,0.39788995097701546,0.4287107054102316,0.6398212177432957,0.6321287161663526,0.6202372372350374,0.5254637436762226,0.34264407417386156,0.28405498791776107,0.29400282554299706,0.5254637436762226,0.49833314309858473,0.49800437507449963
